,date,period,demand_mw,bid_price,cumulative_bid_volumn
0,2023-01-01,1,5539.761,155.57,5562.3
1,2023-01-01,2,5443.353,129.2,5447.600000000001
2,2023-01-01,3,5384.523,121.7,5394.400000000001
3,2023-01-01,4,5367.272,125.77,5378.2
4,2023-01-01,5,5331.369,125.77,5347.0
5,2023-01-01,6,5289.506,121.7,5300.8
6,2023-01-01,7,5232.943,105.77,5247.8
7,2023-01-01,8,5196.736,105.77,5236.6
8,2023-01-01,9,5173.397,105.57,5177.2
9,2023-01-01,10,5180.256,105.77,5219.8
10,2023-01-01,11,5213.411,105.77,5220.400000000001
11,2023-01-01,12,5258.215,107.2,5262.1
12,2023-01-01,13,5324.033,108.24,5328.2
13,2023-01-01,14,5358.947,108.24,5363.7
14,2023-01-01,15,5383.39,119.2,5388.2
15,2023-01-01,16,5457.989,129.2,5468.1
16,2023-01-01,17,5548.493,129.2,5555.1
17,2023-01-01,18,5605.032,146.8,5610.400000000001
18,2023-01-01,19,5658.559,155.67,5667.6
19,2023-01-01,20,5727.006,148.2,5727.1
20,2023-01-01,21,5768.639,150.0,5775.500000000001
21,2023-01-01,22,5775.15,149.6,5783.600000000001
22,2023-01-01,23,5773.614,129.2,5781.6
23,2023-01-01,24,5734.585,124.6,5735.7
24,2023-01-01,25,5701.534,116.01,5710.700000000001
25,2023-01-01,26,5634.365,116.01,5693.700000000001
26,2023-01-01,27,5612.228,114.55,5622.2
27,2023-01-01,28,5633.684,114.55,5646.0
28,2023-01-01,29,5684.746,114.55,5720.6
29,2023-01-01,30,5676.983,114.55,5711.2
30,2023-01-01,31,5684.224,114.55,5716.7
31,2023-01-01,32,5732.04,120.79,5732.1
32,2023-01-01,33,5780.731,125.67,5782.1
33,2023-01-01,34,5788.932,125.67,5799.4
34,2023-01-01,35,5823.578,128.9,5830.500000000001
35,2023-01-01,36,5848.115,129.2,5849.799999999999
36,2023-01-01,37,5906.353,156.6,5910.599999999999
37,2023-01-01,38,5998.994,179.2,6013.300000000001
38,2023-01-01,39,6061.238,226.0,6064.2
39,2023-01-01,40,6086.461,226.0,6089.1
40,2023-01-01,41,6101.376,227.4,6108.099999999999
41,2023-01-01,42,6087.211,226.0,6094.000000000001
42,2023-01-01,43,6060.483,227.4,6077.600000000002
43,2023-01-01,44,5969.407,191.0,5988.9000000000015
44,2023-01-01,45,5864.023,155.77,5881.3
45,2023-01-01,46,5783.266,155.77,5810.900000000001
46,2023-01-01,47,5694.964,135.0,5695.7
47,2023-01-01,48,5632.084,125.67,5638.5
48,2023-01-02,1,5587.915,179.2,5604.1
49,2023-01-02,2,5516.119,177.5,5519.5
50,2023-01-02,3,5440.271,153.67,5443.7
51,2023-01-02,4,5345.528,123.77,5349.7
52,2023-01-02,5,5270.466,119.3,5278.5
53,2023-01-02,6,5198.068,105.42,5217.3
54,2023-01-02,7,5152.826,103.67,5169.3
55,2023-01-02,8,5131.749,103.57,5133.1
56,2023-01-02,9,5126.237,103.57,5128.700000000001
57,2023-01-02,10,5153.646,103.77,5166.3
58,2023-01-02,11,5177.478,105.42,5186.9
59,2023-01-02,12,5241.963,119.3,5259.099999999999
60,2023-01-02,13,5307.776,119.3,5320.2
61,2023-01-02,14,5346.393,119.2,5355.6
62,2023-01-02,15,5393.509,123.77,5410.1
63,2023-01-02,16,5467.422,143.3,5470.000000000001
64,2023-01-02,17,5576.39,153.67,5587.1
65,2023-01-02,18,5642.287,160.9,5652.400000000001
66,2023-01-02,19,5707.806,176.0,5714.599999999999
67,2023-01-02,20,5758.336,161.7,5759.1
68,2023-01-02,21,5804.607,166.9,5807.599999999999
69,2023-01-02,22,5819.895,162.5,5820.600000000001
70,2023-01-02,23,5822.753,153.67,5833.699999999999
71,2023-01-02,24,5801.461,153.67,5816.0
72,2023-01-02,25,5729.535,121.7,5745.6
73,2023-01-02,26,5686.083,116.01,5688.599999999999
74,2023-01-02,27,5690.864,119.2,5697.2
75,2023-01-02,28,5739.719,121.7,5741.0
76,2023-01-02,29,5774.166,126.9,5775.5
77,2023-01-02,30,5777.307,129.2,5784.3
78,2023-01-02,31,5843.97,153.67,5854.8
79,2023-01-02,32,5902.481,168.2,5903.2
80,2023-01-02,33,5979.591,196.8,5983.0
81,2023-01-02,34,6005.082,200.0,6016.799999999999
82,2023-01-02,35,6060.418,229.2,6069.9
83,2023-01-02,36,6068.3,229.2,6080.3
84,2023-01-02,37,6150.047,233.77,6180.199999999998
85,2023-01-02,38,6247.871,233.77,6256.100000000001
86,2023-01-02,39,6299.748,250.0,6320.800000000001
87,2023-01-02,40,6314.002,250.0,6319.200000000001
88,2023-01-02,41,6306.095,250.0,6321.900000000001
89,2023-01-02,42,6257.787,244.4,6258.000000000001
90,2023-01-02,43,6199.797,325.2,6203.600000000001
91,2023-01-02,44,6145.952,259.3,6148.2
92,2023-01-02,45,6055.299,233.77,6087.8
93,2023-01-02,46,5974.526,230.0,5978.3
94,2023-01-02,47,5825.093,189.2,5829.300000000001
95,2023-01-02,48,5733.367,160.9,5734.8
96,2023-01-03,1,5609.888,112.69,5630.7
