INFORMATION TYPE,DATE,PERIOD,USEP ($/MWh),LCP ($/MWh),DEMAND (MW),TCL (MW)
USEP,01 Jan 2023,1,158.62,0,5539.761,0
USEP,01 Jan 2023,2,147.58,0,5443.353,0
USEP,01 Jan 2023,3,126.83,0,5384.523,0
USEP,01 Jan 2023,4,144.53,0,5367.272,0
USEP,01 Jan 2023,5,144.51,0,5331.369,0
USEP,01 Jan 2023,6,126.8,0,5289.506,0
USEP,01 Jan 2023,7,108.48,0,5232.943,0
USEP,01 Jan 2023,8,106.74,0,5196.736,0
USEP,01 Jan 2023,9,106.51,0,5173.397,0
USEP,01 Jan 2023,10,106.74,0,5180.256,0
USEP,01 Jan 2023,11,109.69,0,5213.411,0
USEP,01 Jan 2023,12,123.24,0,5258.215,0
USEP,01 Jan 2023,13,123.24,0,5324.033,0
USEP,01 Jan 2023,14,123.25,0,5358.947,0
USEP,01 Jan 2023,15,126.71,0,5383.39,0
USEP,01 Jan 2023,16,144.54,0,5457.989,0
USEP,01 Jan 2023,17,156.98,0,5548.493,0
USEP,01 Jan 2023,18,157.11,0,5605.032,0
USEP,01 Jan 2023,19,177.19,0,5658.559,0
USEP,01 Jan 2023,20,158.6,0,5727.006,0
USEP,01 Jan 2023,21,157.2,0,5768.639,0
USEP,01 Jan 2023,22,157.2,0,5775.15,0
USEP,01 Jan 2023,23,151.63,0,5773.614,0
USEP,01 Jan 2023,24,130.62,0,5734.585,0
USEP,01 Jan 2023,25,126.25,0,5701.534,0
USEP,01 Jan 2023,26,117.51,0,5634.365,0
USEP,01 Jan 2023,27,117.51,0,5612.228,0
USEP,01 Jan 2023,28,117.53,0,5633.684,0
USEP,01 Jan 2023,29,116.06,0,5684.746,0
USEP,01 Jan 2023,30,116.06,0,5676.983,0
USEP,01 Jan 2023,31,116.08,0,5684.224,0
USEP,01 Jan 2023,32,126.79,0,5732.04,0
USEP,01 Jan 2023,33,146.93,0,5780.731,0
USEP,01 Jan 2023,34,137.24,0,5788.932,0
USEP,01 Jan 2023,35,151.61,0,5823.578,0
USEP,01 Jan 2023,36,157.21,0,5848.115,0
USEP,01 Jan 2023,37,181.38,0,5906.353,0
USEP,01 Jan 2023,38,194.23,0,5998.994,0
USEP,01 Jan 2023,39,231.19,0,6061.238,0
USEP,01 Jan 2023,40,231.17,0,6086.461,0
USEP,01 Jan 2023,41,231.16,0,6101.376,0
USEP,01 Jan 2023,42,230.7,0,6087.211,0
USEP,01 Jan 2023,43,232.49,0,6060.483,0
USEP,01 Jan 2023,44,213,0,5969.407,0
USEP,01 Jan 2023,45,181.45,0,5864.023,0
USEP,01 Jan 2023,46,158.71,0,5783.266,0
USEP,01 Jan 2023,47,157.26,0,5694.964,0
USEP,01 Jan 2023,48,145.21,0,5632.084,0
USEP,02 Jan 2023,1,194.09,0,5587.915,0
USEP,02 Jan 2023,2,191.73,0,5516.119,0
USEP,02 Jan 2023,3,162.2,0,5440.271,0
USEP,02 Jan 2023,4,141.24,0,5345.528,0
USEP,02 Jan 2023,5,123.77,0,5270.466,0
USEP,02 Jan 2023,6,107.69,0,5198.068,0
USEP,02 Jan 2023,7,104.61,0,5152.826,0
USEP,02 Jan 2023,8,104.5,0,5131.749,0
